ID_CIDADE;NOME_CIDADE;UF;POPULACAO_TOTAL;PERC_POPULACAO_URBANA;PERC_POPULACAO_RURAL;PERC_POPULACAO_MASCULINA;PERC_POPULACAO_FEMININA;QTD_ANALFABETO_MAIS_15ANOS;TAXA_ANALFABETO_MAIS_15;QTD_DOMICILIOS;QTD_DOMICILIOS_RESP_HOMEM;QTD_DOMICILIOS_RESP_MULHER;PERC_DOMICILIOS_SANEAMENTO_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_INADEQUADO;MEDIA_REND_DOMICILIAR_PERCAPITA_NOM;MEDIA_REND_NOMINAL_HOMENS;MEDIA_REND_NOMINAL_MULHERES;MEDIANA_REND_NOMINAL_HOMENS;MEDIANA_REND_NOMINAL_MULHERES
4314308;Pejuçara;RS;3973;67,3;32,7;50,5;49,5;139;4,3;1266;937;334;6,1;93,9;0;732,57;1490,58;839,41;800;510
4314407;Pelotas;RS;328275;93,3;6,7;47;53;10857;4,1;113951;60477;53570;81,9;18;0,2;734,91;1423,4;1056,04;800;600
4314423;Picada Café;RS;5182;88;12;50,1;49,9;100;2,3;1737;1260;478;67,7;32,1;0,2;732,02;1117,99;819,3;800;615
4314456;Pinhal;RS;2513;51,3;48,7;50,7;49,3;188;9,3;818;537;281;50,7;49,1;0,1;538,41;963,98;753,23;655;510
4314464;Pinhal da Serra;RS;2130;22,4;77,6;52,1;47,9;138;8,3;745;620;125;2,8;95,3;1,9;413,94;817,01;667,09;510;510
4314472;Pinhal Grande;RS;4471;42,4;57,6;51,8;48,2;279;8;1393;1143;253;38,9;57,1;4;456,26;967,91;718,04;510;510
4314498;Pinheirinho do Vale;RS;4497;20,3;79,7;50,6;49,4;362;10,4;1432;992;449;6,8;92,2;1;583,39;1280,65;714,32;600;510
4314506;Pinheiro Machado;RS;12780;76,6;23,4;49,9;50,1;1009;9,8;4725;2927;1802;71,4;27,5;1,1;497,36;967,43;701,77;600;510
4314555;Pirapó;RS;2757;28,2;71,8;50,7;49,3;310;13,7;962;637;329;28;71,6;0,4;446,89;727,87;650,29;510;510
4314605;Piratini;RS;19841;58,3;41,7;50,9;49,1;1646;10,4;7236;4866;2385;44,5;52;3,5;445,5;816,18;645,3;510;510
4314704;Planalto;RS;10524;56,4;43,6;49,5;50,5;933;11,3;3453;2537;929;25,3;72,9;1,8;463,02;836,61;626,89;510;510
4314753;Poço das Antas;RS;2017;42,7;57,3;50,7;49,3;46;2,7;690;517;173;92,6;7,4;0;710,67;1064,36;800,08;750;590
4314779;Pontão;RS;3857;40,4;59,6;51,4;48,6;143;4,8;1274;1057;224;6,5;93,5;0;526,48;1152,44;712,24;717,5;510
4314787;Ponte Preta;RS;1750;29,3;70,7;52,8;47,2;96;6,4;546;483;63;16,7;83,3;0;657,44;1040,17;733,33;700;510
4314803;Portão;RS;30920;81,7;18,3;50,2;49,8;1105;4,6;10127;6452;3689;27,6;72,4;0;611,02;1173,08;817,71;800;600
4314902;Porto Alegre;RS;1409351;100;0;46,4;53,6;26051;2,3;508456;255297;253795;93,9;6,1;0;1398,45;2556,25;1822,41;1200;1000
4315008;Porto Lucena;RS;5413;43,1;56,9;49,8;50,2;392;8,6;1978;1513;479;11,2;88,6;0,2;527,69;776,05;694,6;510;510
4315057;Porto Mauá;RS;2542;37,5;62,5;49,7;50,3;139;6,6;833;614;227;40,8;59,1;0,1;464,42;828,26;679,37;510;510
4315073;Porto Vera Cruz;RS;1852;23,8;76,2;50,5;49,5;120;7,9;683;486;201;23,6;76,4;0;455,61;715,47;632,17;510;510
4315107;Porto Xavier;RS;10558;49,3;50,7;50,2;49,8;928;11,1;3609;2288;1333;44,3;55,3;0,3;505,8;960,96;655,87;510;510
4315131;Pouso Novo;RS;1875;33,7;66,3;50,8;49,2;137;9;623;422;205;12,4;86,5;1,1;759,97;1452,08;927,03;750;510
4315149;Presidente Lucena;RS;2484;60,8;39,2;52,7;47,3;45;2,2;791;637;155;68,3;31,7;0;687,24;972,89;828,64;800;600
4315156;Progresso;RS;6163;30,4;69,6;51,6;48,4;436;8,8;2011;1678;337;17,3;80;2,7;577,1;837,9;747,09;510;510
4315172;Protásio Alves;RS;2000;21,4;78,7;54;46,1;117;6,9;627;521;106;49,3;50,7;0;856,28;1563,97;824,29;800;510
4315206;Putinga;RS;4141;38,1;61,9;50,6;49,4;303;8,8;1328;1074;258;40,8;58,1;1,1;663,59;1123,81;767,75;600;510
4315305;Quaraí;RS;23021;92,6;7,4;48,8;51,2;989;5,6;7570;4429;3149;82,8;17,1;0,1;478,54;976,55;710,81;510;510
4315313;Quatro Irmãos;RS;1775;51,6;48,4;50,1;49,9;134;9,7;571;457;114;44,5;55,2;0,4;473,49;959,52;596,27;700;510
4315321;Quevedos;RS;2710;31,4;68,6;53,4;46,6;183;8,5;922;748;177;10,2;88;1,8;440,35;815,44;590,22;510;510
4315354;Quinze de Novembro;RS;3653;53,7;46,3;49,2;50,8;98;3,2;1269;992;280;13,4;86,6;0;1014,08;1670,31;1105,31;1000;600
4315404;Redentora;RS;10222;29,4;70,6;51;49;1111;16,3;2757;1966;792;3,8;91,8;4,4;286,74;757,78;570,14;510;510
4315453;Relvado;RS;2155;34,1;65,9;49,7;50,3;86;4,7;721;600;122;41,3;58,7;0;674,53;1067,64;784,22;610;510
4315503;Restinga Sêca;RS;15849;56,7;43,3;49,3;50,7;907;7,1;5353;3488;1890;35,6;64,3;0,1;553,38;1064,88;760,27;600;510
4315552;Rio dos Índios;RS;3616;20,9;79,1;51,4;48,6;427;14,8;1170;920;262;0,8;95,8;3,4;424,14;796,27;604,5;510;510
4315602;Rio Grande;RS;197228;96;4;48,2;51,8;7208;4,7;66606;36135;30535;83,3;16,7;0;709,67;1441,69;1008,33;900;570
